i,t,m,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc,Magnesium,Phosphorus,Potassium,Vitamin E,Vitamin K
H00101-04-01,2013-14,Central,2.9420388788277894,5.141261585243938,3.4334420369113876,3.3700921146873664,0.8747524268229002,6.57770361191937,3.153768708243196,3.974547136091844,3.3991598379458683,4.088424254386422,1.4991407598415498,5.273121908913947,6.468252409018325,5.139978433557087,2.4042891051703648,0.0,0.0,4.529084833667728e-05,0.0,0.0
H00102-04-01,2013-14,Central,1.5957484669358701,3.1677864210204763,1.9107802473096678,2.0489931496494775,0.3853775735844641,3.1867758631876555,1.8984701954930452,2.2088611338477526,1.8446992524012946,2.557829097174045,0.9386098129810855,2.8235953589549663,4.363870610146851,3.7884604968054583,1.4145155396940936,0.0,0.0,3.43599119589876e-05,0.0,0.0
H00104-04-01,2013-14,Central,2.310692479324464,4.977396717677232,2.7822972193878965,2.7561913834563043,0.4777259908460881,3.705784384660522,2.3357949555380126,3.165043889265441,2.6122643735326276,3.404657068212844,1.2566943902705965,4.23431254692271,5.393071485380482,5.607234914617311,2.1225325373678974,0.0,0.0,3.560523314297076e-05,0.0,0.0
H00208-04-01,2013-14,Central,1.7144906260829909,2.814548675423859,2.0079781021668817,1.972067618082404,0.48012051074034956,3.920864224968359,2.224530429590385,2.2226856611244123,1.9163799811543518,2.4352260181556873,0.742231163838897,3.0584735713545186,3.652103291535034,2.5996769877990302,1.2901244706615498,0.0,0.0,3.013218790274275e-05,0.0,0.0
H00209-04-01,2013-14,Central,1.3516911524584216,2.4020245264032587,1.582075254973742,1.5043211568338275,0.323595164589149,2.7527459448856564,1.408181657579985,1.76401448210988,1.4732394469423211,1.915684401175583,0.7231560137369362,2.269473489968443,3.159689236933075,2.618655843558659,1.1165263432329682,0.0,0.0,2.7190452885129435e-05,0.0,0.0
H00211-04-01,2013-14,Central,1.4736810469418966,2.4590602524326286,1.610445595219423,1.511101454622828,0.40912955780067833,3.3444385328799826,1.8280575694613326,1.9526262813460784,1.5654865059402625,2.0084232460214873,0.5726276318592346,2.7881390938018553,3.0764967952238327,2.0098667272533617,1.124554005344532,0.0,0.0,2.310561252949572e-05,0.0,0.0
H00213-04-01,2013-14,Central,2.1000273276999897,3.4311256869170816,2.437476489791431,2.364149608479335,0.5914341713077399,4.755155502446492,2.1508133199086434,2.687735053892364,2.3171934893431816,2.8832906140964476,0.9916134567445085,3.4565191988889516,4.541199263383647,3.3791330950223344,1.6549319579743886,0.0,0.0,2.9086717538860345e-05,0.0,0.0
H00301-04-01,2013-14,Central,1.7511799111697404,3.211129641466234,2.096118994875887,1.9427375195415333,0.399945080208084,3.4930933376044786,1.7016712016905347,2.2905308024381132,1.9401152918514397,2.488474526246575,0.895964971817508,2.9514860998669885,3.9286139012570556,3.4092976991373676,1.4914743255638159,0.0,0.0,3.0014444973797356e-05,0.0,0.0
H00302-04-01,2013-14,Central,4.1806025105408775,7.9632400637122664,4.687388749100243,4.317245645027592,0.9194058130911449,7.112432347911921,4.299131511576541,5.494818542914328,4.929897553572402,5.7506716575387316,2.1263320166554145,7.3830100501082745,7.953150615381369,7.4570215401918905,3.6664723305913585,0.0,0.0,5.868914905134744e-05,0.0,0.0
H00303-04-01,2013-14,Central,1.9232798189968119,3.2525767891074353,2.269565062770683,2.096201020994899,0.5258619017299845,4.3061708572692075,2.002285922603459,2.4668938652753893,2.269242845119885,2.7348972898057196,1.008180500606885,3.3095799080740735,4.1553211630495,3.209588265809794,1.5724460053220317,0.0,0.0,3.062507114981172e-05,0.0,0.0
