i,t,m,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc,Magnesium,Phosphorus,Potassium,Vitamin E,Vitamin K
H0010101,2015-16,Central,2.82030215538678,5.22307109015884,2.8949281129520106,2.8041597206441917,1.1505346594994887,6.473209810427408,4.806462488125615,4.294489579797946,3.1499156670457387,4.232853509119412,1.152131717190743,5.840257022567024,6.7838877816772385,4.4232648609217975,2.6582766812168015,0.0,0.0,5.4451067852651175e-05,0.0,0.0
H0010201,2015-16,Central,1.8944411180268963,3.771548144692639,2.0100597059947583,1.9878339020923284,0.694726235365202,3.824007953144924,2.8024340924069358,2.939267804518351,2.106036921858513,3.157326722370088,0.9199783313663504,3.3803991513031,4.803210855950784,3.6382215717651825,1.984103777749964,0.0,0.0,5.06761042080912e-05,0.0,0.0
H0010401,2015-16,Central,0.9739403557914177,2.094081093227395,1.0664116145939215,0.9015285403030846,0.278530505906461,1.4709118417868365,1.0112504364098378,1.4118505851334768,1.0191620665018404,1.4592663335659997,0.5340809551400231,1.509705871916363,2.28652942077071,2.113987438272695,1.1350787762924641,0.0,0.0,2.2571581616140243e-05,0.0,0.0
H0020801,2015-16,Central,2.643759303239493,4.657844443303622,2.771232020519953,2.440762674091351,0.9546543105816616,5.666281503484346,3.385430312057134,3.799566073172611,2.771867436543801,3.6366158283851338,1.0916872994714688,5.0465339582680375,5.542852929602824,3.9671255171329816,2.268444526987541,0.0,0.0,4.658676022514083e-05,0.0,0.0
H0020901,2015-16,Central,2.210523833695409,4.185790309368984,2.2557237070948606,2.040219903975495,0.7559950215681651,4.58510082129741,2.540401532004912,3.2790866810934705,2.3744373185636607,3.1907037689007147,0.9302170819961799,4.193969724423539,4.966009318771076,3.5848079184971344,2.0865835471962684,0.0,0.0,4.270715625107498e-05,0.0,0.0
H0021101,2015-16,Central,1.3173597763229994,2.167469654034301,1.4167398739587787,1.1951870235200388,0.5079815247144227,3.0339834711163745,1.7270093059940383,1.8207436931856291,1.3594210550244683,1.8502913697452676,0.5418247762128856,2.240806637756725,2.918237814845744,1.9440631851418444,1.180730033130949,0.0,0.0,2.5246674111510507e-05,0.0,0.0
H0021301,2015-16,Central,1.4056421328936612,2.340832468135375,1.538472104617113,1.336487299282474,0.5879778859977024,3.363289006351279,1.8210420473694022,2.012677391825227,1.480342710755898,2.0663398824830006,0.647534704134202,2.4026559162219625,3.191015950383898,2.1143732999253553,1.29247592508977,0.0,0.0,3.173298702180704e-05,0.0,0.0
H0030101,2015-16,Central,1.311571648939553,2.517816256841383,1.3731725842255718,1.2127860573705753,0.46766229422079963,2.5555820230427027,1.4513721883619348,1.9377491991519573,1.415869482960413,1.897835589726959,0.6134929397589365,2.3674564932802036,2.9616553521874964,2.3792464723236364,1.3580367563554365,0.0,0.0,2.704456343779913e-05,0.0,0.0
H0030201,2015-16,Central,2.514931389391996,5.206452134708603,2.4753120852618986,2.1328040338194008,0.8080296067194456,4.128276951105783,2.8170065846465313,3.746108423238179,2.6444181108035267,3.6531411124729547,1.1087751864639954,4.780156529381192,4.95621665636931,4.083760249435188,2.631926845690281,0.0,0.0,5.5772758623380925e-05,0.0,0.0
H0030301,2015-16,Central,2.7588220820149933,4.876247841906479,3.01828861935313,2.566925050803203,0.9013071204796738,5.964641947756291,2.8848271208996294,3.9870076685513345,3.0042938783027044,4.023374658216507,1.271751814124362,4.713843178375366,6.488269739622876,4.38949469167753,2.5256449594575776,0.0,0.0,4.310638703895419e-05,0.0,0.0
H0030701,2015-16,Central,1.938509610643527,3.6320800672832,1.9751026032989443,1.6629135028102173,0.6249423303622881,3.8295145281978384,1.831330581072506,2.807894301555634,2.003189983991389,2.6457443885166994,0.821228492540284,3.493374757239847,3.9354116523609277,3.125156429065279,1.8549980480489934,0.0,0.0,3.497051621663891e-05,0.0,0.0
H0031201,2015-16,Central,1.0566456633668202,1.7107850520134458,1.1201423852653463,0.960807069248984,0.4233058936890678,2.5926608774279023,1.5248686848459148,1.4720945972828943,1.095973187098853,1.5826937387575235,0.4490770601045978,1.6562052084904126,2.447235270782713,1.6090038811305636,0.9744383729258288,0.0,0.0,2.6902456397351794e-05,0.0,0.0
H0031301,2015-16,Central,2.7945681195092895,5.449220012858187,2.9303749015014176,2.788387887049325,0.8889360125071771,5.525938199607773,3.7068412801850164,4.201287189460126,3.05577251897665,4.10969987482413,1.188299117294395,5.6600101700593735,6.277996034034091,4.679506030811632,2.4665675396966065,0.0,0.0,4.501395333721678e-05,0.0,0.0
H0060601,2015-16,Central,1.6974472060078836,2.8269665368487225,1.8889655435680976,1.5485299438839841,0.6399778098821679,3.962618039649727,1.8129265083020214,2.4157819833287895,1.7661636840220478,2.4834030093345536,0.7813676394238959,2.677571246343008,3.6463329354043754,2.4786359485374363,1.5962335290427996,0.0,0.0,3.7604387819986094e-05,0.0,0.0
H0070401,2015-16,Central,1.2142163585409147,2.1172540564956512,1.2995560601680496,1.1166444884731215,0.40756159662291813,2.7970042285780163,1.5091638236949405,1.7354685502546516,1.2837967442931648,1.7865568070401363,0.5703432684543716,2.0254913797491163,2.7913682290452675,1.9967959605537744,1.1178795527446235,0.0,0.0,2.4269277597499984e-05,0.0,0.0
H0070701,2015-16,Central,3.3385757928957287,6.360351244067843,3.5203568592099814,3.0392593186583383,1.1012254639867247,6.3618569008993555,3.2565595240061254,4.959484828790534,3.6503748961675075,4.5684486537302815,1.5185901077998751,6.405977467491573,7.595231325349264,5.4675789388245075,3.192719798393149,0.0,0.0,4.881140627095933e-05,0.0,0.0
H0071001,2015-16,Central,1.861506377530932,3.6809202895825814,1.8831566122845096,1.773592025651194,0.5825137308764774,3.6910271760826046,2.1981889343851413,2.7749871066457477,1.9615858622341147,2.5284995722475085,0.8191208283009915,3.833452886444463,4.109954555239622,3.2371896517194356,1.578094772191082,0.0,0.0,3.066359724902852e-05,0.0,0.0
H0071201,2015-16,Central,2.701368705458827,4.768217284435569,2.831460235700414,2.4971762896000747,0.973828257558541,5.78398384660555,3.4561419711734582,3.887318194508597,2.8363395599119694,3.7123409579330926,1.1160909516582287,5.177537933068003,5.667099195723483,4.057685705300404,2.3158610633324535,0.0,0.0,4.7107428288957286e-05,0.0,0.0
H0080201,2015-16,Central,2.721110998670357,5.009735107027249,2.8938640766978727,2.8009690032514056,1.0607148416863879,6.349080970288026,4.54477998271578,4.177618250531768,2.992640980282761,4.215194233659822,1.2207135648780099,5.392400895687972,6.019769049630028,4.2144142743468915,2.473792171656254,0.0,0.0,5.7502234486066224e-05,0.0,0.0
H0080901,2015-16,Central,1.447098183025841,2.4539909236776833,1.6051019896478118,1.2417799710078745,0.4417472880355766,3.24334378386086,1.5432478377559697,1.9725892121124244,1.4768445776007144,2.013935787155428,0.6917431606995742,2.2906771996375284,3.2990961546580344,2.180843669371665,1.3307832548972207,0.0,0.0,2.5560803897280117e-05,0.0,0.0
H0081001,2015-16,Central,3.7184170511096823,6.66927750877554,3.9611401244782427,3.5487834778484952,1.2829502206949213,8.216121636250978,4.682568862917985,5.364107285501465,4.018128818663592,5.022480650815774,1.5815687404835075,7.497529349675912,8.197121833639402,5.741280242018534,3.1149334861965605,0.0,0.0,5.203198947655299e-05,0.0,0.0
H0081101,2015-16,Central,1.4792636787086497,2.6595773442543567,1.568040596228084,1.395857784988894,0.5426997741287679,3.3072565144069554,1.7891974245585418,2.167032350863791,1.603111480517943,2.187710530550606,0.6786850102208618,2.6117487846274576,3.3754883522582912,2.5403521303864878,1.430250283954237,0.0,0.0,2.972415220999668e-05,0.0,0.0
H0120901,2015-16,Central,2.6850700507554466,5.251146209546865,2.783738755014761,2.5583551668372797,0.8951678466227108,5.279252325550872,2.8389385012742188,4.037891452733213,2.9653328417445697,3.8991268178083875,1.2006665234702703,5.394542372373251,6.415074839339339,4.494738211905447,2.499738559449381,0.0,0.0,4.2160960399202714e-05,0.0,0.0
H0120902,2015-16,Central,2.0102385581414643,4.376336101436286,2.0362763575070897,1.9879514309935675,0.679097570084834,3.2951875146218117,2.5308876711352717,3.156170640414684,2.1739652843678603,2.997895954362583,0.9644196385049774,4.185511094247916,4.8697155309691444,3.755057279472475,2.093829607235047,0.0,0.0,4.232945922319901e-05,0.0,0.0
H0120903,2015-16,Central,3.2854873034721668,5.959857714586557,3.5579487574829933,3.1192688104651793,1.1819349498965863,7.3064496802068275,2.845772662404378,4.848423017577662,3.5964075884249307,4.649436034204382,1.5585036423667562,5.786322318948398,7.375365244816958,5.487188876556531,3.228870518668281,0.0,0.0,5.168536892886912e-05,0.0,0.0
H0120904,2015-16,Central,5.715194779759359,10.550497048402221,5.591002341043928,5.559311924249915,2.825481459785229,13.299716394673176,10.452147183615393,8.8685899996873,6.033688722580859,8.394992128586207,2.352448165323799,13.127348234592052,13.287381561217016,7.5863009279829,5.1765025419926936,0.0,0.0,0.0001225228902434971,0.0,0.0
H0120905,2015-16,Central,2.6586237170738016,5.557179091943316,2.6398298987584146,2.59687001096601,0.9238053591087136,4.681923552454877,3.612614843111987,4.133213085836106,2.8556937149990387,3.9342987986252735,1.1798495334665002,5.700986857570296,6.258792164931572,4.567660196153784,2.5886026989500706,0.0,0.0,5.4063985460726985e-05,0.0,0.0
H0140101,2015-16,Central,5.723908036371669,11.453045849701462,5.413443715893025,4.65659318215573,1.5574547679460553,9.403895556940496,7.297251697388423,8.293371678738042,5.730722595099231,7.262592552793563,2.226421255077457,12.148424998158033,10.204795359741606,8.251802840888848,4.947025255505219,0.0,0.0,8.008725830795161e-05,0.0,0.0
