t,m,j,u,price
2009-10,Eastern,Sweet Potatoes (dry),Kg,493.3544631
2009-10,Eastern,Sweet Potatoes (fresh),Kg,922.2335737
2009-10,Eastern,Tea,Kg,1122.749366
2009-10,Eastern,Tomatoes,Kg,304.4101732
2009-10,Northern,Beans (dry),Kg,1223.639865
2009-10,Northern,Beans (fresh),Kg,829.8181818
2009-10,Northern,Beef,Kg,4214.377289
2009-10,Northern,Beer,Kg,2955.855856
2009-10,Northern,Bread,Kg,1752.564103
2009-10,Northern,Cabbage (green),Kg,2202.307692
2009-10,Northern,Cassava (dry),Kg,652.0813268
2009-10,Northern,Cassava (fresh),Kg,712.3276561
2009-10,Northern,Chicken,Kg,20402.77778
2009-10,Northern,Cigarettes,Kg,908.4859155
2009-10,Northern,Coffee,Kg,530.4347826
2009-10,Northern,Cooking Oil,Kg,2061.336969
2009-10,Northern,Dodo,Kg,168.7701335
2009-10,Northern,Dry/Smoked Fish,Kg,1741.954337
2009-10,Northern,Eggs,Kg,799.4
2009-10,Northern,Eggs,Tray of 30 eggs,
2009-10,Northern,Fresh Fish,Kg,2198.235294
2009-10,Northern,Ghee,Kg,1727.272727
2009-10,Northern,Goat Meat,Kg,4468.965517
2009-10,Northern,Ground Nuts (in shell),Kg,778.4126984
2009-10,Northern,Ground Nuts (pounded),Kg,2974.219046
2009-10,Northern,Ground Nuts (shelled),Kg,1613.513514
2009-10,Northern,Infant Formula,Kg,7500
2009-10,Northern,Irish Potatoes,Kg,973.0769231
2009-10,Northern,Maize (cobs),Kg,550.456621
2009-10,Northern,Maize (flour),Kg,962.9161747
2009-10,Northern,Maize (grains),Kg,839.4834055
2009-10,Northern,Mangos,Kg,234.7823698
2009-10,Northern,"Margarine, Butter, etc",Kg,2971.428571
2009-10,Northern,Matoke,Kg,882.7685669
2009-10,Northern,Millet,Kg,849.8181818
2009-10,Northern,Onions,Kg,407.4652907
2009-10,Northern,Oranges,Kg,368.627451
2009-10,Northern,Other Alcoholic Drinks,Kg,1914.008482
2009-10,Northern,Other Drinks,Kg,8287.202374
2009-10,Northern,Other Foods,Kg,
2009-10,Northern,Other Fruits,Kg,688.1253767
2009-10,Northern,Other Juice,Kg,
2009-10,Northern,Other Meat,Kg,3258.823529
2009-10,Northern,Other Tobacco,Kg,8520.756227
2009-10,Northern,Other Vegetables,Kg,220.9989414
2009-10,Northern,Passion Fruits,Kg,511.1111111
2009-10,Northern,Peas,Kg,1126.352941
2009-10,Northern,Pork,Kg,3565.517241
2009-10,Northern,Restaurant (food),Kg,
2009-10,Northern,Restaurant (soda),Kg,2358.084425
2009-10,Northern,Rice,Kg,1988.584906
2009-10,Northern,Salt,Kg,1364.006358
2009-10,Northern,Sim Sim,Kg,1664.082278
2009-10,Northern,Sorghum,Kg,681.9451671
2009-10,Northern,Sugar,Kg,3129.827107
2009-10,Northern,Sweet Bananas,Kg,217.3552279
2009-10,Northern,Sweet Potatoes (dry),Kg,704.15
2009-10,Northern,Sweet Potatoes (fresh),Kg,689.0313853
2009-10,Northern,Tea,Kg,853.4005035
2009-10,Northern,Tomatoes,Kg,385.6372549
2009-10,Western,Beans (dry),Kg,1291.864587
2009-10,Western,Beans (fresh),Kg,875.1928937
2009-10,Western,Beef,Kg,4137.280702
2009-10,Western,Beer,Kg,2842.424242
2009-10,Western,Bread,Kg,2361.403509
2009-10,Western,Cabbage (green),Kg,1600.0979
2009-10,Western,Cassava (dry),Kg,728.538175
2009-10,Western,Cassava (fresh),Kg,940.88812
2009-10,Western,Chicken,Kg,26395.83333
2009-10,Western,Cigarettes,Kg,2666.493056
2009-10,Western,Coffee,Kg,1183.333333
2009-10,Western,Cooking Oil,Kg,2293.926141
2009-10,Western,Dodo,Kg,251.8083204
2009-10,Western,Dry/Smoked Fish,Kg,3567.986633
2009-10,Western,Eggs,Kg,806.25
2009-10,Western,Fresh Fish,Kg,4402.941176
2009-10,Western,Ghee,Kg,9003.354976
