t,m,j,u,price
2019-20,Central,Avocado,Kg,1096.776573
2019-20,Central,Beans (dry),Kg,3085.8393
2019-20,Central,Beans (fresh),Kg,2099.184907
2019-20,Central,Beef,Kg,11491.00719
2019-20,Central,Beer,Kg,5912.624585
2019-20,Central,Biscuits,Kg,6400
2019-20,Central,Bogoya,Kg,2035.662486
2019-20,Central,Bongo,Kg,1087.5
2019-20,Central,Bread,Kg,4522.330097
2019-20,Central,Cabbage (green),Kg,2438.815537
2019-20,Central,Cakes,Kg,2806.029049
2019-20,Central,Carrots,Kg,742.8112854
2019-20,Central,Cassava (dry),Kg,1719.601247
2019-20,Central,Cassava (fresh),Kg,1495.910229
2019-20,Central,Chapati,Kg,1773.892989
2019-20,Central,Cheese,Kg,8000
2019-20,Central,Chicken,Kg,10000
2019-20,Central,Chicken (broiler),Kg,12500
2019-20,Central,Cigarettes,Kg,3771.323529
2019-20,Central,Coffee,Kg,14974.24242
2019-20,Central,Cooking Oil (refined),Kg,3011.876956
2019-20,Central,Cooking Oil (unrefined),Kg,1717.171717
2019-20,Central,Dodo,Kg,1360.126522
2019-20,Central,Donuts,Kg,1603.488372
2019-20,Central,Dry/Smoked Fish,Kg,3083.467864
2019-20,Central,Eggplant,Kg,621.6601017
2019-20,Central,Eggs,Kg,1737.190972
2019-20,Central,Eggs,Tray of 30 eggs,
2019-20,Central,Garlic,Kg,1812.660961
2019-20,Central,Ghee,Kg,23805.55556
2019-20,Central,Ginger (fresh),Kg,666.3734939
2019-20,Central,Ginger (powder),Kg,10800
2019-20,Central,Goat Meat,Kg,12125
2019-20,Central,Green Pepper,Kg,629.0147499
2019-20,Central,Ground Nuts (in shell),Kg,4361.111111
2019-20,Central,Ground Nuts (paste),Kg,5393.678161
2019-20,Central,Ground Nuts (pounded),Kg,5694.373673
2019-20,Central,Ground Nuts (shelled),Kg,5186.666667
2019-20,Central,Honey,Kg,16380.95238
2019-20,Central,Ice Cream,Kg,8200
2019-20,Central,Irish Potatoes,Kg,1497.877774
2019-20,Central,Jackfruit (fresh),Kg,3789.054718
2019-20,Central,Jam/Marmalade,Kg,1864.06894
2019-20,Central,Kabalagala,Kg,372.826087
2019-20,Central,Macaroni/Spaghetti,Kg,6946.666667
2019-20,Central,Maize (cobs),Kg,969.7013037
2019-20,Central,Maize (flour),Kg,2223.254986
2019-20,Central,Maize (grains),Kg,2000
2019-20,Central,Mangos,Kg,980.6769613
2019-20,Central,"Margarine, Butter, etc",Kg,8080
2019-20,Central,Matoke,Kg,1698.395048
2019-20,Central,Milk (powdered),Kg,57857.14286
2019-20,Central,Millet Flour,Kg,3310.36036
2019-20,Central,Mukene,Kg,5491.267248
2019-20,Central,Mushrooms,Kg,1064.215686
2019-20,Central,Ndiizi,Kg,1113.040116
2019-20,Central,Nkejje (dried),Kg,2386.022167
2019-20,Central,Okra,Kg,800
2019-20,Central,Onions,Kg,1611.359136
2019-20,Central,Oranges,Kg,972.8290011
2019-20,Central,Other Alcoholic Drinks,Kg,2418.181818
2019-20,Central,Other Drinks,Kg,3750
2019-20,Central,Other Fish (dried),Kg,2765.319865
2019-20,Central,Other Fish (fresh),Kg,3675.323084
2019-20,Central,Other Foods,Kg,
2019-20,Central,Other Fruits,Kg,2150.487447
2019-20,Central,Other Juice,Kg,4619.047619
2019-20,Central,Other Juice (fresh),Kg,2132.142857
2019-20,Central,Other Juice (packed),Kg,8843.75
2019-20,Central,Other Juice (restaurants),Kg,2085.978836
2019-20,Central,Other Meat,Kg,8875
2019-20,Central,Other Spices,Kg,263825
2019-20,Central,Other Tobacco,Kg,28166.66667
2019-20,Central,Other Vegetables,Kg,816.6666667
2019-20,Central,Passion Fruits,Kg,1437.330205
2019-20,Central,Pawpaw,Kg,2560.047664
2019-20,Central,Peas,Kg,6900.196078
2019-20,Central,Peas (dry),Kg,4281.818182
2019-20,Central,Perch (dried),Kg,5835.412953
2019-20,Central,Perch (fresh),Kg,6618.598136
2019-20,Central,Pineapple,Kg,4032.693469
2019-20,Central,Pork,Kg,9096.774194
2019-20,Central,Pumpkins,Kg,3924.90558
2019-20,Central,Restaurant (food),Kg,
2019-20,Central,Restaurant (soda),Kg,3298.534141
2019-20,Central,Rice,Kg,3706.598985
2019-20,Central,Salt,Kg,1364.01138
2019-20,Central,Samosas,Kg,668.5897436
2019-20,Central,Sausages,Kg,12833.33333
2019-20,Central,Sim Sim,Kg,4850
2019-20,Central,Sim Sim (paste),Kg,6333.333333
2019-20,Central,Sorghum,Kg,2000
2019-20,Central,Soybeans (dry),Kg,1500
2019-20,Central,Sugarcane,Kg,1983.901104
2019-20,Central,Sweet Potatoes (dry),Kg,1600
2019-20,Central,Sweet Potatoes (fresh),Kg,1531.729876
2019-20,Central,Tea (leaves),Kg,11820.83333
2019-20,Central,Tea (other),Kg,22720
2019-20,Central,Tilapia (fresh),Kg,3696.643984
2019-20,Central,Tomatoes,Kg,833.4110352
2019-20,Central,Waragi,Kg,12625
2019-20,Central,Water,Kg,5166.666667
2019-20,Central,Watermelon,Kg,6499.965569
2019-20,Central,Wheat (flour),Kg,2750
2019-20,Central,Yams (arrowroot),Kg,3974.122323
2019-20,Central,Yoghurt,Kg,5194.444444
2019-20,Eastern,Avocado,Kg,772.7352626
2019-20,Eastern,Beans (dry),Kg,3301.477378
2019-20,Eastern,Beans (fresh),Kg,1694.029851
2019-20,Eastern,Beef,Kg,9883.462532
2019-20,Eastern,Beer,Kg,5423.376623
2019-20,Eastern,Biscuits,Kg,3221.052632
2019-20,Eastern,Bogoya,Kg,1708.417597
2019-20,Eastern,Bongo,Kg,1183.050847
2019-20,Eastern,Bread,Kg,4573.469388
2019-20,Eastern,Cabbage (green),Kg,1888.139367
2019-20,Eastern,Cakes,Kg,1558.361382
2019-20,Eastern,Carrots,Kg,710.4347347
2019-20,Eastern,Cassava (dry),Kg,1104.338985
2019-20,Eastern,Cassava (fresh),Kg,1331.72883
2019-20,Eastern,Chapati,Kg,1761.254019
2019-20,Eastern,Chicken,Kg,15000
2019-20,Eastern,Cigarettes,Kg,4050
2019-20,Eastern,Coffee,Kg,17041.66667
