t,m,j,u,price
2005-06,Central,Beans (dry),Kg,750.0357881
2005-06,Central,Beans (fresh),Kg,722.5679445
2005-06,Central,Beef,Kg,2511.85654
2005-06,Central,Beer,Kg,2814.535835
2005-06,Central,Bread,Kg,1346.270718
2005-06,Central,Cabbage (green),Kg,1452.077778
2005-06,Central,Cassava (dry),Kg,558.974359
2005-06,Central,Cassava (fresh),Kg,685.7738454
2005-06,Central,Chicken,Kg,16733.80282
2005-06,Central,Cigarettes,Kg,3364.636964
2005-06,Central,Coffee,Kg,2802.609427
2005-06,Central,Cooking Oil,Kg,867.1632687
2005-06,Central,Dodo,Kg,226.4873835
2005-06,Central,Dry/Smoked Fish,Kg,788.0061488
2005-06,Central,Eggs,Kg,376.6035354
2005-06,Central,Eggs,Tray of 30 eggs,
2005-06,Central,Fresh Fish,Kg,963.1019117
2005-06,Central,Ghee,Kg,5232.526879
2005-06,Central,Goat Meat,Kg,3880.769231
2005-06,Central,Ground Nuts (in shell),Kg,933.3333333
2005-06,Central,Ground Nuts (pounded),Kg,1489.198102
2005-06,Central,Ground Nuts (shelled),Kg,1299.652095
2005-06,Central,Infant Formula,Kg,12474.99992
2005-06,Central,Irish Potatoes,Kg,648.9944172
2005-06,Central,Maize (cobs),Kg,561.4239482
2005-06,Central,Maize (flour),Kg,691.7871486
2005-06,Central,Maize (grains),Kg,3954.575707
2005-06,Central,Mangos,Kg,545.8173607
2005-06,Central,"Margarine, Butter, etc",Kg,12035.36972
2005-06,Central,Matoke,Kg,608.6459073
2005-06,Central,Millet,Kg,719.4117644
2005-06,Central,Onions,Kg,342.3661362
2005-06,Central,Oranges,Kg,636.3636364
2005-06,Central,Other Alcoholic Drinks,Kg,1899.307966
2005-06,Central,Other Drinks,Kg,2707.466667
2005-06,Central,Other Foods,Kg,1555.555556
2005-06,Central,Other Fruits,Kg,6815.3367
2005-06,Central,Other Juice,Kg,200
2005-06,Central,Other Meat,Kg,1637.037037
2005-06,Central,Other Tobacco,Kg,3657.60275
2005-06,Central,Other Vegetables,Kg,277.6819738
2005-06,Central,Passion Fruits,Kg,673.4356725
2005-06,Central,Peas,Kg,1527.027027
2005-06,Central,Pork,Kg,2121.818181
2005-06,Central,Restaurant (food),Kg,13428.57143
2005-06,Central,Restaurant (soda),Kg,1714.710954
2005-06,Central,Rice,Kg,1163.490534
2005-06,Central,Salt,Kg,681.1722498
2005-06,Central,Sim Sim,Kg,1387.5
2005-06,Central,Sorghum,Kg,831.25
2005-06,Central,Sugar,Kg,1618.229974
2005-06,Central,Sweet Bananas,Kg,98.34231134
2005-06,Central,Sweet Potatoes (dry),Kg,750
2005-06,Central,Sweet Potatoes (fresh),Kg,561.0525498
2005-06,Central,Tea,Kg,1942.992645
2005-06,Central,Tomatoes,Kg,289.3453199
2005-06,Eastern,Beans (dry),Kg,647.453149
2005-06,Eastern,Beans (fresh),Kg,550.4021033
2005-06,Eastern,Beef,Kg,2476.315789
2005-06,Eastern,Beer,Kg,2139.085714
2005-06,Eastern,Bread,Kg,1280.088496
2005-06,Eastern,Cabbage (green),Kg,1069.7173
2005-06,Eastern,Cassava (dry),Kg,332.6929392
2005-06,Eastern,Cassava (fresh),Kg,515.5082567
2005-06,Eastern,Chicken,Kg,11748.92045
2005-06,Eastern,Cigarettes,Kg,1933.066964
2005-06,Eastern,Coffee,Kg,1311
2005-06,Eastern,Cooking Oil,Kg,648.5100485
2005-06,Eastern,Dodo,Kg,166.9027769
2005-06,Eastern,Dry/Smoked Fish,Kg,749.9454895
2005-06,Eastern,Eggs,Kg,398.4939759
2005-06,Eastern,Eggs,Tray of 30 eggs,
2005-06,Eastern,Fresh Fish,Kg,917.3996815
2005-06,Eastern,Ghee,Kg,3083.333333
2005-06,Eastern,Goat Meat,Kg,2548.333333
2005-06,Eastern,Ground Nuts (in shell),Kg,461.8521595
2005-06,Eastern,Ground Nuts (pounded),Kg,1325.558142
2005-06,Eastern,Ground Nuts (shelled),Kg,1119.327731
2005-06,Eastern,Infant Formula,Kg,7250
2005-06,Eastern,Irish Potatoes,Kg,447.6744186
2005-06,Eastern,Maize (cobs),Kg,302.9245407
2005-06,Eastern,Maize (flour),Kg,496.105077
2005-06,Eastern,Maize (grains),Kg,246.8085106
2005-06,Eastern,Mangos,Kg,205.121259
2005-06,Eastern,"Margarine, Butter, etc",Kg,3527.272727
2005-06,Eastern,Matoke,Kg,390.1811336
2005-06,Eastern,Millet,Kg,519.5100421
2005-06,Eastern,Onions,Kg,204.1283923
2005-06,Eastern,Oranges,Kg,209.2418301
2005-06,Eastern,Other Alcoholic Drinks,Kg,894.4607332
2005-06,Eastern,Other Drinks,Kg,1021.351767
2005-06,Eastern,Other Foods,Kg,606.6666667
2005-06,Eastern,Other Fruits,Kg,1495.394737
2005-06,Eastern,Other Juice,Kg,179.1111111
2005-06,Eastern,Other Meat,Kg,2236.666667
2005-06,Eastern,Other Tobacco,Kg,5763.921991
2005-06,Eastern,Other Vegetables,Kg,165.5485805
2005-06,Eastern,Passion Fruits,Kg,597.0149254
2005-06,Eastern,Peas,Kg,612.8162068
2005-06,Eastern,Pork,Kg,1975.510204
2005-06,Eastern,Restaurant (food),Kg,1000
2005-06,Eastern,Restaurant (soda),Kg,1638.449612
2005-06,Eastern,Rice,Kg,982.3863636
2005-06,Eastern,Salt,Kg,628.5706208
2005-06,Eastern,Sim Sim,Kg,933.3333333
2005-06,Eastern,Sorghum,Kg,270.1356408
2005-06,Eastern,Sugar,Kg,1562.901354
2005-06,Eastern,Sweet Bananas,Kg,108.201174
2005-06,Eastern,Sweet Potatoes (dry),Kg,193.4210526
2005-06,Eastern,Sweet Potatoes (fresh),Kg,338.8934803
2005-06,Eastern,Tea,Kg,1046.658385
2005-06,Eastern,Tomatoes,Kg,163.5924453
2005-06,Northern,Beans (dry),Kg,636.149112
2005-06,Northern,Beans (fresh),Kg,331.4998222
2005-06,Northern,Beef,Kg,2366.689655
2005-06,Northern,Beer,Kg,2571.428571
2005-06,Northern,Bread,Kg,1255.555556
2005-06,Northern,Cabbage (green),Kg,1451.333333
2005-06,Northern,Cassava (dry),Kg,358.8616958
2005-06,Northern,Cassava (fresh),Kg,323.4471975
2005-06,Northern,Chicken,Kg,12427.53623
2005-06,Northern,Cigarettes,Kg,526.6615385
2005-06,Northern,Coffee,Kg,643.5555556
2005-06,Northern,Cooking Oil,Kg,1201.937787
2005-06,Northern,Dodo,Kg,115.0618087
2005-06,Northern,Dry/Smoked Fish,Kg,832.0838188
2005-06,Northern,Eggs,Kg,463.2352941
2005-06,Northern,Fresh Fish,Kg,1051.245048
2005-06,Northern,Ghee,Kg,2293.140221
2005-06,Northern,Goat Meat,Kg,2224.594595
2005-06,Northern,Ground Nuts (in shell),Kg,475.8169935
2005-06,Northern,Ground Nuts (pounded),Kg,1362.653974
2005-06,Northern,Ground Nuts (shelled),Kg,476.6758282
2005-06,Northern,Infant Formula,Kg,
2005-06,Northern,Irish Potatoes,Kg,546.1538462
2005-06,Northern,Maize (cobs),Kg,298.9886731
2005-06,Northern,Maize (flour),Kg,450.7854865
2005-06,Northern,Maize (grains),Kg,352.4846828
2005-06,Northern,Mangos,Kg,100.1333333
2005-06,Northern,"Margarine, Butter, etc",Kg,1500
2005-06,Northern,Matoke,Kg,284.2167574
2005-06,Northern,Millet,Kg,365.2809998
2005-06,Northern,Onions,Kg,183.9300253
