t,m,j,u,price
2010-11,Western,Other Alcoholic Drinks,Kg,3643.809524
2010-11,Western,Other Drinks,Kg,2000
2010-11,Western,Other Fruits,Kg,1791.279422
2010-11,Western,Other Juice,Kg,
2010-11,Western,Other Meat,Kg,5000
2010-11,Western,Other Tobacco,Kg,404.8076923
2010-11,Western,Other Vegetables,Kg,593.8965517
2010-11,Western,Passion Fruits,Kg,594.3147186
2010-11,Western,Pawpaw,Kg,1267.577328
2010-11,Western,Peas,Kg,3800
2010-11,Western,Peas (dry),Kg,4628.571429
2010-11,Western,Pineapple,Kg,1955.58324
2010-11,Western,Pork,Kg,5300
2010-11,Western,Pumpkins,Kg,1416.585536
2010-11,Western,Restaurant (food),Kg,3333.333333
2010-11,Western,Restaurant (soda),Kg,2750
2010-11,Western,Rice,Kg,2339.285714
2010-11,Western,Salt,Kg,1192.655529
2010-11,Western,Sim Sim,Kg,6666.666667
2010-11,Western,Sorghum,Kg,1230.864198
2010-11,Western,Sugar,Kg,3188.421053
2010-11,Western,Sweet Bananas,Kg,701.6679712
2010-11,Western,Sweet Potatoes (dry),Kg,350
2010-11,Western,Sweet Potatoes (fresh),Kg,358.4056459
2010-11,Western,Tea,Kg,2012.368866
2010-11,Western,Tomatoes,Kg,559.1809586
2010-11,Western,Watermelon,Kg,5252.508769
