t,m,j,u,price
2010-11,Central,Avocado,Kg,598.0896088
2010-11,Central,Beans (dry),Kg,1739.364081
2010-11,Central,Beans (fresh),Kg,2046.649366
2010-11,Central,Beef,Kg,5491.945127
2010-11,Central,Beer,Kg,4213.556801
2010-11,Central,Bread,Kg,3495.853583
2010-11,Central,Cabbage (green),Kg,1513.218999
2010-11,Central,Carrots,Kg,580.1806445
2010-11,Central,Cassava (dry),Kg,943.4027778
2010-11,Central,Cassava (fresh),Kg,1668.210532
2010-11,Central,Chicken,Kg,23155.9914
2010-11,Central,Cigarettes,Kg,759.1666667
2010-11,Central,Coffee,Kg,3780.952381
2010-11,Central,Cooking Oil,Kg,1448.955261
2010-11,Central,Dodo,Kg,607.2208945
2010-11,Central,Dry/Smoked Fish,Kg,1317.4563
2010-11,Central,Eggplant,Kg,441.8372196
2010-11,Central,Eggs,Kg,871.2765957
2010-11,Central,Eggs,Tray of 30 eggs,
2010-11,Central,Fresh Fish,Kg,1610.499582
2010-11,Central,Ghee,Kg,9751.600754
2010-11,Central,Goat Meat,Kg,5597.142857
2010-11,Central,Green Pepper,Kg,521.9175029
2010-11,Central,Ground Nuts (in shell),Kg,2757.894737
2010-11,Central,Ground Nuts (paste),Kg,3782.417582
2010-11,Central,Ground Nuts (pounded),Kg,5050.826806
2010-11,Central,Ground Nuts (shelled),Kg,4233.333333
2010-11,Central,Infant Formula,Kg,13825
2010-11,Central,Irish Potatoes,Kg,885.9033613
2010-11,Central,Maize (cobs),Kg,570.9215375
2010-11,Central,Maize (flour),Kg,1507.242991
2010-11,Central,Maize (grains),Kg,827.7777778
2010-11,Central,Mangos,Kg,890.2466187
2010-11,Central,"Margarine, Butter, etc",Kg,8497.492159
2010-11,Central,Matoke,Kg,1135.579274
2010-11,Central,Millet,Kg,1501.25
2010-11,Central,Onions,Kg,504.2558704
2010-11,Central,Oranges,Kg,583.3375448
2010-11,Central,Other Alcoholic Drinks,Kg,3985.592809
2010-11,Central,Other Drinks,Kg,2303.333333
2010-11,Central,Other Foods,Kg,
2010-11,Central,Other Fruits,Kg,1735.981301
2010-11,Central,Other Juice,Kg,
2010-11,Central,Other Meat,Kg,6250
2010-11,Central,Other Tobacco,Kg,414.0350877
2010-11,Central,Other Vegetables,Kg,689.4046473
2010-11,Central,Passion Fruits,Kg,769.0506675
2010-11,Central,Pawpaw,Kg,1322.40698
2010-11,Central,Peas,Kg,3952.380952
2010-11,Central,Peas (dry),Kg,2225
2010-11,Central,Pineapple,Kg,2334.779318
2010-11,Central,Pork,Kg,4724.242424
2010-11,Central,Pumpkins,Kg,2049.912979
2010-11,Central,Restaurant (food),Kg,
2010-11,Central,Restaurant (soda),Kg,2794.197372
2010-11,Central,Rice,Kg,4478.035714
2010-11,Central,Salt,Kg,957.8104138
2010-11,Central,Sim Sim,Kg,3588.888889
2010-11,Central,Sorghum,Kg,1228.571429
2010-11,Central,Sugar,Kg,3100.377562
2010-11,Central,Sweet Bananas,Kg,1296.625712
2010-11,Central,Sweet Potatoes (dry),Kg,637.5
2010-11,Central,Sweet Potatoes (fresh),Kg,3172.109753
2010-11,Central,Tea,Kg,1362.767383
2010-11,Central,Tomatoes,Kg,509.1838494
2010-11,Central,Watermelon,Kg,3451.376365
2010-11,Eastern,Avocado,Kg,530.2720503
2010-11,Eastern,Beans (dry),Kg,1701.525822
2010-11,Eastern,Beans (fresh),Kg,1734.065934
2010-11,Eastern,Beef,Kg,4981.849204
2010-11,Eastern,Beer,Kg,2553.488372
2010-11,Eastern,Bread,Kg,2586.385309
2010-11,Eastern,Cabbage (green),Kg,1327.401429
2010-11,Eastern,Carrots,Kg,488.1159348
2010-11,Eastern,Cassava (dry),Kg,646.9444444
2010-11,Eastern,Cassava (fresh),Kg,1268.307906
2010-11,Eastern,Chicken,Kg,16931.1614
2010-11,Eastern,Cigarettes,Kg,396.9777778
2010-11,Eastern,Coffee,Kg,7233.333333
2010-11,Eastern,Cooking Oil,Kg,1232.141192
2010-11,Eastern,Dodo,Kg,599.8996366
2010-11,Eastern,Dry/Smoked Fish,Kg,1108.341337
2010-11,Eastern,Eggplant,Kg,312.9162363
2010-11,Eastern,Eggs,Kg,827.6041667
2010-11,Eastern,Eggs,Tray of 30 eggs,
2010-11,Eastern,Fresh Fish,Kg,1694.165764
2010-11,Eastern,Ghee,Kg,7175.909091
2010-11,Eastern,Goat Meat,Kg,6393.434276
2010-11,Eastern,Green Pepper,Kg,530.2680763
2010-11,Eastern,Ground Nuts (in shell),Kg,1465.47619
2010-11,Eastern,Ground Nuts (paste),Kg,2647.578348
2010-11,Eastern,Ground Nuts (pounded),Kg,4938.323917
2010-11,Eastern,Ground Nuts (shelled),Kg,3190.163934
2010-11,Eastern,Irish Potatoes,Kg,760.5596405
2010-11,Eastern,Maize (cobs),Kg,501.0647809
2010-11,Eastern,Maize (flour),Kg,1162.453445
2010-11,Eastern,Maize (grains),Kg,726.6666667
2010-11,Eastern,Mangos,Kg,414.4247391
2010-11,Eastern,"Margarine, Butter, etc",Kg,9364.285714
2010-11,Eastern,Matoke,Kg,967.1944498
2010-11,Eastern,Millet,Kg,1210.683761
2010-11,Eastern,Onions,Kg,396.591051
2010-11,Eastern,Oranges,Kg,470.247625
2010-11,Eastern,Other Alcoholic Drinks,Kg,1317.164116
2010-11,Eastern,Other Drinks,Kg,2800
2010-11,Eastern,Other Foods,Kg,
2010-11,Eastern,Other Fruits,Kg,1915.367082
2010-11,Eastern,Other Juice,Kg,
2010-11,Eastern,Other Tobacco,Kg,577.7777778
2010-11,Eastern,Other Vegetables,Kg,742.9795478
2010-11,Eastern,Passion Fruits,Kg,984.6772197
2010-11,Eastern,Pawpaw,Kg,1217.701275
2010-11,Eastern,Peas,Kg,3485.714286
2010-11,Eastern,Peas (dry),Kg,1634.859155
2010-11,Eastern,Pineapple,Kg,2554.79341
2010-11,Eastern,Pork,Kg,4012.280702
2010-11,Eastern,Pumpkins,Kg,1933.76811
2010-11,Eastern,Restaurant (food),Kg,
2010-11,Eastern,Restaurant (soda),Kg,2884.676617
2010-11,Eastern,Rice,Kg,2073.142857
2010-11,Eastern,Salt,Kg,851.8462872
2010-11,Eastern,Sim Sim,Kg,4619.753086
2010-11,Eastern,Sorghum,Kg,727.1466906
2010-11,Eastern,Sugar,Kg,3341.760722
2010-11,Eastern,Sweet Bananas,Kg,1198.722539
2010-11,Eastern,Sweet Potatoes (dry),Kg,670.9259259
2010-11,Eastern,Sweet Potatoes (fresh),Kg,650.188172
2010-11,Eastern,Tea,Kg,1165.311526
2010-11,Eastern,Tomatoes,Kg,344.3577912
2010-11,Eastern,Watermelon,Kg,2253.74376
2010-11,Northern,Avocado,Kg,386.5233142
2010-11,Northern,Beans (dry),Kg,4407.241853
2010-11,Northern,Beans (fresh),Kg,3750.854701
2010-11,Northern,Beef,Kg,5303.452811
2010-11,Northern,Beer,Kg,3400
2010-11,Northern,Bread,Kg,2071.312109
2010-11,Northern,Cabbage (green),Kg,1978.538226
2010-11,Northern,Carrots,Kg,682.2171381
2010-11,Northern,Cassava (dry),Kg,427.7183272
2010-11,Northern,Cassava (fresh),Kg,571.855978
2010-11,Northern,Chicken,Kg,15238.1909
2010-11,Northern,Cigarettes,Kg,146.606134
2010-11,Northern,Coffee,Kg,1385.304659
2010-11,Northern,Cooking Oil,Kg,1929.879565
2010-11,Northern,Dodo,Kg,405.3084254
2010-11,Northern,Dry/Smoked Fish,Kg,1325.497008
2010-11,Northern,Eggplant,Kg,338.627349
2010-11,Northern,Eggs,Kg,915.3629032
2010-11,Northern,Eggs,Tray of 30 eggs,
2010-11,Northern,Fresh Fish,Kg,1840.405938
2010-11,Northern,Ghee,Kg,9666.666667
2010-11,Northern,Goat Meat,Kg,5342.82587
2010-11,Northern,Green Pepper,Kg,537.1141699
2010-11,Northern,Ground Nuts (in shell),Kg,967.1497585
2010-11,Northern,Ground Nuts (paste),Kg,7436.048265
2010-11,Northern,Ground Nuts (pounded),Kg,3456
2010-11,Northern,Ground Nuts (shelled),Kg,3560.465116
2010-11,Northern,Infant Formula,Kg,2016.666667
2010-11,Northern,Irish Potatoes,Kg,1254.503676
2010-11,Northern,Maize (cobs),Kg,495.2882921
2010-11,Northern,Maize (flour),Kg,1734.444444
2010-11,Northern,Maize (grains),Kg,692.6829268
2010-11,Northern,Mangos,Kg,203.8171644
2010-11,Northern,"Margarine, Butter, etc",Kg,5440.909091
2010-11,Northern,Matoke,Kg,829.7606844
2010-11,Northern,Millet,Kg,1669.733333
2010-11,Northern,Onions,Kg,390.5503234
2010-11,Northern,Oranges,Kg,351.3216163
2010-11,Northern,Other Alcoholic Drinks,Kg,2981.505631
2010-11,Northern,Other Drinks,Kg,416.6666667
2010-11,Northern,Other Foods,Kg,
2010-11,Northern,Other Fruits,Kg,482.91392
2010-11,Northern,Other Juice,Kg,
2010-11,Northern,Other Meat,Kg,3983.713568
2010-11,Northern,Other Tobacco,Kg,352.5054466
2010-11,Northern,Other Vegetables,Kg,315.9336989
2010-11,Northern,Passion Fruits,Kg,470.8267091
2010-11,Northern,Pawpaw,Kg,1065.565477
2010-11,Northern,Peas,Kg,2885.714286
2010-11,Northern,Peas (dry),Kg,1312.690058
2010-11,Northern,Pineapple,Kg,2822.352936
2010-11,Northern,Pork,Kg,4900.677966
2010-11,Northern,Pumpkins,Kg,2083.73579
2010-11,Northern,Restaurant (food),Kg,
2010-11,Northern,Restaurant (soda),Kg,2530.737913
2010-11,Northern,Rice,Kg,3739.933993
2010-11,Northern,Salt,Kg,945.6449165
2010-11,Northern,Sim Sim,Kg,6865.16165
2010-11,Northern,Sorghum,Kg,1183.831541
2010-11,Northern,Sugar,Kg,3354.938272
2010-11,Northern,Sweet Bananas,Kg,899.1787653
2010-11,Northern,Sweet Potatoes (dry),Kg,625.462963
2010-11,Northern,Sweet Potatoes (fresh),Kg,324.6753247
2010-11,Northern,Tea,Kg,1032.407407
2010-11,Northern,Tomatoes,Kg,353.4803501
2010-11,Northern,Watermelon,Kg,5038.167939
2010-11,Western,Avocado,Kg,413.1243191
2010-11,Western,Beans (dry),Kg,1898.643113
2010-11,Western,Beans (fresh),Kg,1471.480592
2010-11,Western,Beef,Kg,5366.459627
2010-11,Western,Beer,Kg,3948.739496
2010-11,Western,Bread,Kg,3181.975785
2010-11,Western,Cabbage (green),Kg,1382.131885
2010-11,Western,Carrots,Kg,432.5980392
2010-11,Western,Cassava (dry),Kg,687.0048309
2010-11,Western,Cassava (fresh),Kg,1583.62069
2010-11,Western,Chicken,Kg,29674.82899
2010-11,Western,Cigarettes,Kg,690.4761905
2010-11,Western,Coffee,Kg,2262.5
2010-11,Western,Cooking Oil,Kg,2515.882717
2010-11,Western,Dodo,Kg,491.378118
2010-11,Western,Dry/Smoked Fish,Kg,1127.668168
2010-11,Western,Eggplant,Kg,448.084589
2010-11,Western,Eggs,Kg,857.5
2010-11,Western,Eggs,Tray of 30 eggs,
2010-11,Western,Fresh Fish,Kg,1629.442815
2010-11,Western,Ghee,Kg,9214.701059
2010-11,Western,Goat Meat,Kg,5740
2010-11,Western,Green Pepper,Kg,283.0844902
2010-11,Western,Ground Nuts (in shell),Kg,1033.333333
2010-11,Western,Ground Nuts (paste),Kg,2400
2010-11,Western,Ground Nuts (pounded),Kg,4439.452269
2010-11,Western,Ground Nuts (shelled),Kg,4433.333333
2010-11,Western,Irish Potatoes,Kg,856.4310797
2010-11,Western,Maize (cobs),Kg,624.2712527
2010-11,Western,Maize (flour),Kg,1243.721973
2010-11,Western,Maize (grains),Kg,570.3703704
2010-11,Western,Mangos,Kg,618.576229
2010-11,Western,"Margarine, Butter, etc",Kg,2769.444444
2010-11,Western,Matoke,Kg,789.4672451
2010-11,Western,Millet,Kg,1269.6875
2010-11,Western,Onions,Kg,492.8395636
2010-11,Western,Oranges,Kg,464.5516604
