t,m,j,u,price
2018-19,Central,Avocado,Kg,834.34762
2018-19,Central,Beans (dry),Kg,2446.292714
2018-19,Central,Beans (fresh),Kg,1955.132163
2018-19,Central,Beef,Kg,10347.13376
2018-19,Central,Beer,Kg,5833.496985
2018-19,Central,Biscuits,Kg,2462.051282
2018-19,Central,Bogoya,Kg,1614.338691
2018-19,Central,Bongo,Kg,1867.857143
2018-19,Central,Bread,Kg,4417.41573
2018-19,Central,Cabbage (green),Kg,2488.231722
2018-19,Central,Cakes,Kg,5250
2018-19,Central,Carrots,Kg,806.818338
2018-19,Central,Cassava (dry),Kg,1332.47334
2018-19,Central,Cassava (fresh),Kg,1625.404698
2018-19,Central,Chapati,Kg,1720.930233
2018-19,Central,Cheese,Kg,30000
2018-19,Central,Chicken,Kg,11500
2018-19,Central,Chicken (broiler),Kg,14904.7619
2018-19,Central,Cigarettes,Kg,1905
2018-19,Central,Coffee,Kg,13048.06202
2018-19,Central,Cooking Oil (refined),Kg,2350.936813
2018-19,Central,Cooking Oil (unrefined),Kg,3730.30303
2018-19,Central,Cornflakes,Kg,15500
2018-19,Central,Dodo,Kg,1354.821166
2018-19,Central,Donuts,Kg,1396.464646
2018-19,Central,Dry/Smoked Fish,Kg,2750.559715
2018-19,Central,Eggplant,Kg,595.1299009
2018-19,Central,Eggs,Kg,1484.723464
2018-19,Central,Eggs,Tray of 30 eggs,
2018-19,Central,Garlic,Kg,1264.672189
2018-19,Central,Ghee,Kg,21614.74359
2018-19,Central,Ginger (fresh),Kg,627.1455477
2018-19,Central,Ginger (powder),Kg,21650
2018-19,Central,Goat Meat,Kg,11538.46154
2018-19,Central,Green Pepper,Kg,654.1375774
2018-19,Central,Ground Nuts (in shell),Kg,3470.465686
2018-19,Central,Ground Nuts (paste),Kg,5291.666667
2018-19,Central,Ground Nuts (pounded),Kg,5432.998325
2018-19,Central,Ground Nuts (shelled),Kg,5177.419355
2018-19,Central,Ice Cream,Kg,5900
2018-19,Central,Infant Formula,Kg,66250
2018-19,Central,Irish Potatoes,Kg,1448.808196
2018-19,Central,Jackfruit (fresh),Kg,3784.998387
2018-19,Central,Kabalagala,Kg,355.785124
2018-19,Central,Macaroni/Spaghetti,Kg,6703.448276
2018-19,Central,Maize (cobs),Kg,787.9368395
2018-19,Central,Maize (flour),Kg,1775.870401
