t,m,j,u,price
2015-16,Central,Other Vegetables,Kg,1359.914102
2015-16,Central,Passion Fruits,Kg,1274.072269
2015-16,Central,Pawpaw,Kg,2014.047967
2015-16,Central,Peas,Kg,6005.555556
2015-16,Central,Peas (dry),Kg,3577.777778
2015-16,Central,Pineapple,Kg,3833.531212
2015-16,Central,Pork,Kg,6846.153846
2015-16,Central,Pumpkins,Kg,2945.888631
2015-16,Central,Restaurant (food),Kg,
2015-16,Central,Restaurant (soda),Kg,3357.374339
2015-16,Central,Rice,Kg,3099.482401
2015-16,Central,Salt,Kg,1167.320663
2015-16,Central,Sim Sim,Kg,3700
2015-16,Central,Sorghum,Kg,1745.454545
2015-16,Central,Sugar,Kg,3018.348623
2015-16,Central,Sweet Bananas,Kg,1250.078901
2015-16,Central,Sweet Potatoes (dry),Kg,913.4803922
2015-16,Central,Sweet Potatoes (fresh),Kg,1200.500142
2015-16,Central,Tea,Kg,10520.33598
2015-16,Central,Tomatoes,Kg,744.1000451
2015-16,Central,Water,Kg,1348.245614
2015-16,Central,Watermelon,Kg,5246.592603
2015-16,Central,Wheat (flour),Kg,3071.818182
2015-16,Eastern,Apples,Kg,2765.445752
2015-16,Eastern,Avocado,Kg,527.8679233
2015-16,Eastern,Beans (dry),Kg,2497.324159
2015-16,Eastern,Beans (fresh),Kg,2829.373691
2015-16,Eastern,Beef,Kg,7923.907563
2015-16,Eastern,Beer,Kg,4876.666667
2015-16,Eastern,Bread,Kg,3622.839136
2015-16,Eastern,Cabbage (green),Kg,1675.174601
2015-16,Eastern,Carrots,Kg,1158.863385
2015-16,Eastern,Cassava (dry),Kg,1148.364008
2015-16,Eastern,Cassava (fresh),Kg,1187.571101
2015-16,Eastern,Chapati,Kg,1716.094008
2015-16,Eastern,Chicken,Kg,25012.36801
2015-16,Eastern,Cigarettes,Kg,4167.5
2015-16,Eastern,Coffee,Kg,10387.49993
2015-16,Eastern,Cooking Oil,Kg,1830.329266
2015-16,Eastern,Dodo,Kg,635.7719245
2015-16,Eastern,Dry/Smoked Fish,Kg,4476.201022
2015-16,Eastern,Eggplant,Kg,4053.728578
2015-16,Eastern,Eggs,Kg,948.8133042
2015-16,Eastern,Fresh Fish,Kg,2529.364395
2015-16,Eastern,Ghee,Kg,10619.04762
2015-16,Eastern,Goat Meat,Kg,8456.603774
2015-16,Eastern,Green Pepper,Kg,628.3276885
2015-16,Eastern,Ground Nuts (in shell),Kg,3161.999999
2015-16,Eastern,Ground Nuts (paste),Kg,9828.85467
2015-16,Eastern,Ground Nuts (pounded),Kg,4809.919528
2015-16,Eastern,Ground Nuts (shelled),Kg,3510.766043
2015-16,Eastern,Irish Potatoes,Kg,936.8052738
2015-16,Eastern,Maize (cobs),Kg,698.3040909
2015-16,Eastern,Maize (flour),Kg,1503.513253
2015-16,Eastern,Maize (grains),Kg,834.6153846
2015-16,Eastern,Mangos,Kg,463.8005534
2015-16,Eastern,"Margarine, Butter, etc",Kg,6621.367495
2015-16,Eastern,Matoke,Kg,1357.85149
2015-16,Eastern,Millet,Kg,1563.513512
2015-16,Eastern,Onions,Kg,641.5965281
2015-16,Eastern,Oranges,Kg,604.3696901
2015-16,Eastern,Other Alcoholic Drinks,Kg,2859.299191
2015-16,Eastern,Other Drinks,Kg,8333.333333
2015-16,Eastern,Other Foods,Kg,
2015-16,Eastern,Other Fruits,Kg,2746.874113
2015-16,Eastern,Other Juice,Kg,
2015-16,Eastern,Other Meat,Kg,6666.666667
2015-16,Eastern,Other Tobacco,Kg,11916.66667
2015-16,Eastern,Other Vegetables,Kg,849.4377702
2015-16,Eastern,Passion Fruits,Kg,1349.548008
2015-16,Eastern,Pawpaw,Kg,1646.993857
2015-16,Eastern,Peas,Kg,2800
2015-16,Eastern,Peas (dry),Kg,2297.297297
2015-16,Eastern,Pineapple,Kg,3485.507138
2015-16,Eastern,Pork,Kg,6761.904762
2015-16,Eastern,Pumpkins,Kg,2437.088579
2015-16,Eastern,Restaurant (food),Kg,
2015-16,Eastern,Restaurant (soda),Kg,3345.192308
2015-16,Eastern,Rice,Kg,2691.055854
2015-16,Eastern,Salt,Kg,1129.413376
2015-16,Eastern,Sim Sim,Kg,11685.71429
2015-16,Eastern,Sorghum,Kg,1053.07971
2015-16,Eastern,Sugar,Kg,3051.350761
2015-16,Eastern,Sweet Bananas,Kg,1567.438151
2015-16,Eastern,Sweet Potatoes (dry),Kg,1759.926471
2015-16,Eastern,Sweet Potatoes (flour),Kg,943.75
2015-16,Eastern,Sweet Potatoes (fresh),Kg,970.3308357
2015-16,Eastern,Tea,Kg,8967.003309
2015-16,Eastern,Tomatoes,Kg,626.924973
2015-16,Eastern,Water,Kg,1530.30303
2015-16,Eastern,Watermelon,Kg,4721.257464
2015-16,Eastern,Wheat (flour),Kg,3240
2015-16,Northern,Apples,Kg,2817.1797
2015-16,Northern,Avocado,Kg,577.427162
2015-16,Northern,Beans (dry),Kg,5151.075269
2015-16,Northern,Beans (fresh),Kg,4229.38914
2015-16,Northern,Beef,Kg,8106.25
2015-16,Northern,Beer,Kg,4345.355191
2015-16,Northern,Bread,Kg,2670.967742
2015-16,Northern,Cabbage (green),Kg,2730.479047
2015-16,Northern,Carrots,Kg,1730.438931
2015-16,Northern,Cassava (dry),Kg,1056.583847
2015-16,Northern,Cassava (fresh),Kg,824.0705164
2015-16,Northern,Chapati,Kg,1568.518519
2015-16,Northern,Chicken,Kg,24078.75746
2015-16,Northern,Cigarettes,Kg,1767.876712
2015-16,Northern,Coffee,Kg,8102.563998
2015-16,Northern,Cooking Oil,Kg,2617.098938
2015-16,Northern,Dodo,Kg,477.0664668
2015-16,Northern,Dry/Smoked Fish,Kg,4463.691015
2015-16,Northern,Eggplant,Kg,1881.8752
2015-16,Northern,Eggs,Kg,1150.990592
2015-16,Northern,Fresh Fish,Kg,2971.558815
2015-16,Northern,Ghee,Kg,4000
2015-16,Northern,Goat Meat,Kg,8509.009006
2015-16,Northern,Green Pepper,Kg,907.5516491
2015-16,Northern,Ground Nuts (in shell),Kg,2604.649123
2015-16,Northern,Ground Nuts (paste),Kg,6050.82006
2015-16,Northern,Ground Nuts (pounded),Kg,10620.51282
2015-16,Northern,Ground Nuts (shelled),Kg,3266.954023
2015-16,Northern,Irish Potatoes,Kg,1572.115385
2015-16,Northern,Maize (cobs),Kg,649.0634035
2015-16,Northern,Maize (flour),Kg,2593.203883
2015-16,Northern,Maize (grains),Kg,1904.398148
2015-16,Northern,Mangos,Kg,285.679488
2015-16,Northern,"Margarine, Butter, etc",Kg,8647.435828
2015-16,Northern,Matoke,Kg,1202.958591
2015-16,Northern,Millet,Kg,3564.465409
2015-16,Northern,Onions,Kg,569.8534907
2015-16,Northern,Oranges,Kg,345.8157072
2015-16,Northern,Other Alcoholic Drinks,Kg,3302.15666
2015-16,Northern,Other Drinks,Kg,3456.666667
2015-16,Northern,Other Foods,Kg,
2015-16,Northern,Other Fruits,Kg,1408.556577
2015-16,Northern,Other Juice,Kg,
2015-16,Northern,Other Meat,Kg,6350
2015-16,Northern,Other Tobacco,Kg,12555.35181
2015-16,Northern,Other Vegetables,Kg,539.7155907
2015-16,Northern,Passion Fruits,Kg,648.1961957
2015-16,Northern,Pawpaw,Kg,1651.935814
2015-16,Northern,Peas,Kg,3656.862745
2015-16,Northern,Peas (dry),Kg,4203.719008
2015-16,Northern,Pineapple,Kg,4306.229958
2015-16,Northern,Pork,Kg,8023.4375
2015-16,Northern,Pumpkins,Kg,2742.917722
2015-16,Northern,Restaurant (food),Kg,
2015-16,Northern,Restaurant (soda),Kg,3393.444651
2015-16,Northern,Rice,Kg,3856.291391
2015-16,Northern,Salt,Kg,1252.261305
2015-16,Northern,Sim Sim,Kg,6758.572672
2015-16,Northern,Sorghum,Kg,1374.32175
2015-16,Northern,Sugar,Kg,3701.422764
2015-16,Northern,Sweet Bananas,Kg,1090.710734
2015-16,Northern,Sweet Potatoes (dry),Kg,2877.191465
2015-16,Northern,Sweet Potatoes (flour),Kg,1000
2015-16,Northern,Sweet Potatoes (fresh),Kg,785.8771647
2015-16,Northern,Tea,Kg,9028.590514
2015-16,Northern,Tomatoes,Kg,511.1980399
2015-16,Northern,Water,Kg,1031.25
2015-16,Northern,Watermelon,Kg,6910.704382
2015-16,Northern,Wheat (flour),Kg,3000
2015-16,Western,Apples,Kg,2280.574043
2015-16,Western,Avocado,Kg,476.5559387
2015-16,Western,Beans (dry),Kg,2498.998822
2015-16,Western,Beans (fresh),Kg,1632.8996
2015-16,Western,Beef,Kg,8413.978491
2015-16,Western,Beer,Kg,4893.580247
2015-16,Western,Bread,Kg,3820.338983
2015-16,Western,Cabbage (green),Kg,2261.253764
2015-16,Western,Carrots,Kg,953.4391683
2015-16,Western,Cassava (dry),Kg,956.1191626
2015-16,Western,Cassava (fresh),Kg,1298.665044
2015-16,Western,Chapati,Kg,1750
2015-16,Western,Chicken,Kg,32912.94075
2015-16,Western,Cigarettes,Kg,5785
2015-16,Western,Coffee,Kg,5299.999969
2015-16,Western,Cooking Oil,Kg,3210.782453
2015-16,Western,Dodo,Kg,655.2506152
2015-16,Western,Dry/Smoked Fish,Kg,2690.611338
2015-16,Western,Eggplant,Kg,6939.648314
2015-16,Western,Eggs,Kg,1517.361267
2015-16,Western,Fresh Fish,Kg,2150.819478
2015-16,Western,Ghee,Kg,24963.96394
2015-16,Western,Goat Meat,Kg,9530.769226
2015-16,Western,Green Pepper,Kg,606.2779641
2015-16,Western,Ground Nuts (in shell),Kg,1500
2015-16,Western,Ground Nuts (paste),Kg,5112.820513
2015-16,Western,Ground Nuts (pounded),Kg,4598.839136
2015-16,Western,Ground Nuts (shelled),Kg,3470.588235
2015-16,Western,Irish Potatoes,Kg,954.4391244
2015-16,Western,Maize (cobs),Kg,588.9931366
2015-16,Western,Maize (flour),Kg,1945.605381
2015-16,Western,Maize (grains),Kg,610
2015-16,Western,Mangos,Kg,595.9473421
2015-16,Western,"Margarine, Butter, etc",Kg,5586.031709
2015-16,Western,Matoke,Kg,1193.513841
2015-16,Western,Millet,Kg,2217.150761
2015-16,Western,Onions,Kg,999.7610128
2015-16,Western,Oranges,Kg,841.5796657
2015-16,Western,Other Alcoholic Drinks,Kg,5804.244306
2015-16,Western,Other Foods,Kg,
2015-16,Western,Other Fruits,Kg,2622.978527
2015-16,Western,Other Juice,Kg,
2015-16,Western,Other Meat,Kg,5000
2015-16,Western,Other Tobacco,Kg,4523.061363
2015-16,Western,Other Vegetables,Kg,532.9417399
2015-16,Western,Passion Fruits,Kg,1256.530161
2015-16,Western,Pawpaw,Kg,1968.645773
2015-16,Western,Peas,Kg,3228.506787
2015-16,Western,Peas (dry),Kg,3333.333333
2015-16,Western,Pineapple,Kg,2713.759572
2015-16,Western,Pork,Kg,8289.473684
2015-16,Western,Pumpkins,Kg,2532.116189
2015-16,Western,Restaurant (food),Kg,
2015-16,Western,Restaurant (soda),Kg,3187.621513
2015-16,Western,Rice,Kg,3053.157895
2015-16,Western,Salt,Kg,1218.302385
2015-16,Western,Sim Sim,Kg,11250
2015-16,Western,Sorghum,Kg,1673.684211
2015-16,Western,Sugar,Kg,3136.1244
2015-16,Western,Sweet Bananas,Kg,999.7746216
2015-16,Western,Sweet Potatoes (dry),Kg,1246.323529
2015-16,Western,Sweet Potatoes (fresh),Kg,891.4524644
2015-16,Western,Tea,Kg,14303.80658
2015-16,Western,Tomatoes,Kg,1195.389723
2015-16,Western,Water,Kg,1244.444444
2015-16,Western,Watermelon,Kg,5038.712959
2015-16,Western,Wheat (flour),Kg,2075
