t,m,j,u,price
2015-16,Central,Apples,Kg,2444.678155
2015-16,Central,Avocado,Kg,772.0477977
2015-16,Central,Beans (dry),Kg,2430.222603
2015-16,Central,Beans (fresh),Kg,3081.552288
2015-16,Central,Beef,Kg,8741.190476
2015-16,Central,Beer,Kg,5133.72206
2015-16,Central,Bread,Kg,3656.481481
2015-16,Central,Cabbage (green),Kg,2165.42416
2015-16,Central,Carrots,Kg,795.0558471
2015-16,Central,Cassava (dry),Kg,1120.192308
2015-16,Central,Cassava (fresh),Kg,1327.301154
2015-16,Central,Chapati,Kg,1704.131054
2015-16,Central,Chicken,Kg,35230.82515
2015-16,Central,Cigarettes,Kg,1994.827586
2015-16,Central,Coffee,Kg,9477.976148
2015-16,Central,Cooking Oil,Kg,2385.550183
2015-16,Central,Dodo,Kg,892.8022688
2015-16,Central,Dry/Smoked Fish,Kg,2678.627612
2015-16,Central,Eggplant,Kg,5716.649892
2015-16,Central,Eggs,Kg,3150.968759
2015-16,Central,Fresh Fish,Kg,3505.261183
2015-16,Central,Ghee,Kg,27361.53844
2015-16,Central,Goat Meat,Kg,9494.285714
2015-16,Central,Green Pepper,Kg,537.3635268
2015-16,Central,Ground Nuts (in shell),Kg,2887.5
2015-16,Central,Ground Nuts (paste),Kg,4253.027816
2015-16,Central,Ground Nuts (pounded),Kg,4616.30929
2015-16,Central,Ground Nuts (shelled),Kg,3613.392857
2015-16,Central,Infant Formula,Kg,32912.5
2015-16,Central,Irish Potatoes,Kg,1225.497345
2015-16,Central,Maize (cobs),Kg,781.0744675
2015-16,Central,Maize (flour),Kg,1792.208202
2015-16,Central,Maize (grains),Kg,760
2015-16,Central,Mangos,Kg,775.0806481
2015-16,Central,"Margarine, Butter, etc",Kg,6894.236637
2015-16,Central,Matoke,Kg,1548.638799
2015-16,Central,Millet,Kg,2610.958903
2015-16,Central,Onions,Kg,815.5622397
2015-16,Central,Oranges,Kg,893.5925805
2015-16,Central,Other Alcoholic Drinks,Kg,5871.365915
2015-16,Central,Other Drinks,Kg,1000
2015-16,Central,Other Foods,Kg,
2015-16,Central,Other Fruits,Kg,2535.179331
2015-16,Central,Other Juice,Kg,
2015-16,Central,Other Meat,Kg,5911.111111
2015-16,Central,Other Tobacco,Kg,13712.83474
