t,m,j,u,price
2013-14,Central,Apples,Kg,2362.934589
2013-14,Central,Avocado,Kg,777.2529594
2013-14,Central,Beans (dry),Kg,2320.166666
2013-14,Central,Beans (fresh),Kg,4432.131012
2013-14,Central,Beef,Kg,7516.425121
2013-14,Central,Beer,Kg,5663.768116
2013-14,Central,Bread,Kg,3327.799564
2013-14,Central,Cabbage (green),Kg,2206.597046
2013-14,Central,Carrots,Kg,682.8013166
2013-14,Central,Cassava (dry),Kg,1296.622294
2013-14,Central,Cassava (fresh),Kg,1556.568235
2013-14,Central,Chapati,Kg,1594.325153
2013-14,Central,Chicken,Kg,36285.49815
2013-14,Central,Cigarettes,Kg,2161.290323
2013-14,Central,Coffee,Kg,13076.00445
2013-14,Central,Cooking Oil,Kg,2002.986687
2013-14,Central,Dodo,Kg,942.8500036
2013-14,Central,Dry/Smoked Fish,Kg,3334.361908
2013-14,Central,Eggplant,Kg,5731.943693
2013-14,Central,Eggs,Kg,816.9477153
2013-14,Central,Eggs,Tray of 30 eggs,
2013-14,Central,Fresh Fish,Kg,3472.986065
2013-14,Central,Ghee,Kg,16873.26941
2013-14,Central,Goat Meat,Kg,8815.555556
2013-14,Central,Green Pepper,Kg,520.1160786
2013-14,Central,Ground Nuts (in shell),Kg,4351.85183
2013-14,Central,Ground Nuts (paste),Kg,4920.713225
2013-14,Central,Ground Nuts (pounded),Kg,4638.598324
2013-14,Central,Ground Nuts (shelled),Kg,4897.798742
2013-14,Central,Infant Formula,Kg,26633.33333
2013-14,Central,Irish Potatoes,Kg,1254.083878
2013-14,Central,Maize (cobs),Kg,686.9701661
2013-14,Central,Maize (flour),Kg,1822.992662
2013-14,Central,Maize (grains),Kg,2107.5
2013-14,Central,Mangos,Kg,770.7069562
2013-14,Central,"Margarine, Butter, etc",Kg,6037.453298
2013-14,Central,Matoke,Kg,1489.684114
2013-14,Central,Millet,Kg,2639.560439
2013-14,Central,Onions,Kg,944.2171375
2013-14,Central,Oranges,Kg,991.8166537
2013-14,Central,Other Alcoholic Drinks,Kg,5001.675485
2013-14,Central,Other Drinks,Kg,2680
2013-14,Central,Other Foods,Kg,
2013-14,Central,Other Fruits,Kg,2577.954494
2013-14,Central,Other Juice,Kg,
2013-14,Central,Other Meat,Kg,4250
2013-14,Central,Other Tobacco,Kg,14952.03538
2013-14,Central,Other Vegetables,Kg,1870.40833
2013-14,Central,Passion Fruits,Kg,1188.442709
2013-14,Central,Pawpaw,Kg,2099.065508
2013-14,Central,Peas,Kg,5250.806452
2013-14,Central,Peas (dry),Kg,3052.380952
2013-14,Central,Pineapple,Kg,3251.262291
2013-14,Central,Pork,Kg,6604.938272
2013-14,Central,Pumpkins,Kg,2607.360586
2013-14,Central,Restaurant (food),Kg,
2013-14,Central,Restaurant (soda),Kg,3134.234325
2013-14,Central,Rice,Kg,3024.730743
2013-14,Central,Salt,Kg,1036.104511
2013-14,Central,Sim Sim,Kg,8000
2013-14,Central,Sorghum,Kg,3892.592593
2013-14,Central,Sugar,Kg,2733.812636
2013-14,Central,Sweet Bananas,Kg,1245.640522
2013-14,Central,Sweet Potatoes (dry),Kg,9572.222222
2013-14,Central,Sweet Potatoes (fresh),Kg,1177.285039
2013-14,Central,Tea,Kg,6972.106153
2013-14,Central,Tomatoes,Kg,802.8088503
2013-14,Central,Water,Kg,1185.384615
2013-14,Central,Watermelon,Kg,5372.329777
2013-14,Central,Wheat (flour),Kg,2500
2013-14,Eastern,Apples,Kg,2896.404257
2013-14,Eastern,Avocado,Kg,616.5732159
2013-14,Eastern,Beans (dry),Kg,2219.81685
2013-14,Eastern,Beans (fresh),Kg,2930.77957
2013-14,Eastern,Beef,Kg,6982.467532
2013-14,Eastern,Beer,Kg,4898.469388
2013-14,Eastern,Bread,Kg,4264.324324
2013-14,Eastern,Cabbage (green),Kg,1829.33492
2013-14,Eastern,Carrots,Kg,449.3184297
2013-14,Eastern,Cassava (dry),Kg,988.0363127
2013-14,Eastern,Cassava (fresh),Kg,1045.039507
2013-14,Eastern,Chapati,Kg,1664.655172
2013-14,Eastern,Chicken,Kg,23274.90647
2013-14,Eastern,Cigarettes,Kg,1535
2013-14,Eastern,Coffee,Kg,57015.78947
2013-14,Eastern,Cooking Oil,Kg,1471.043078
2013-14,Eastern,Dodo,Kg,687.0906105
2013-14,Eastern,Dry/Smoked Fish,Kg,4427.497422
2013-14,Eastern,Eggplant,Kg,3434.87039
2013-14,Eastern,Eggs,Kg,835.4958123
