t,m,j,u,price
2011-12,Central,Avocado,Kg,872.8538334
2011-12,Central,Beans (dry),Kg,1763.00813
2011-12,Central,Beans (fresh),Kg,2460.761972
2011-12,Central,Beef,Kg,7110.746268
2011-12,Central,Beer,Kg,4641.657596
2011-12,Central,Bread,Kg,4047.604995
2011-12,Central,Cabbage (green),Kg,2083.741748
2011-12,Central,Carrots,Kg,680.6066074
2011-12,Central,Cassava (dry),Kg,1208.659004
2011-12,Central,Cassava (fresh),Kg,2325.029139
2011-12,Central,Chicken,Kg,26193.95977
2011-12,Central,Cigarettes,Kg,654.5454545
2011-12,Central,Coffee,Kg,7516.666666
2011-12,Central,Cooking Oil,Kg,1850.024934
2011-12,Central,Dodo,Kg,962.4356869
2011-12,Central,Dry/Smoked Fish,Kg,1455.779109
2011-12,Central,Eggplant,Kg,499.3911105
2011-12,Central,Eggs,Kg,779.609339
2011-12,Central,Eggs,Tray of 30 eggs,
2011-12,Central,Fresh Fish,Kg,2001.038609
2011-12,Central,Ghee,Kg,7495.555541
2011-12,Central,Goat Meat,Kg,8625
2011-12,Central,Green Pepper,Kg,877.4935238
2011-12,Central,Ground Nuts (in shell),Kg,1120.098039
2011-12,Central,Ground Nuts (paste),Kg,3448.520707
2011-12,Central,Ground Nuts (pounded),Kg,4817.142302
2011-12,Central,Ground Nuts (shelled),Kg,4757.232704
2011-12,Central,Infant Formula,Kg,5250
2011-12,Central,Irish Potatoes,Kg,1150.858779
2011-12,Central,Maize (cobs),Kg,891.1641968
2011-12,Central,Maize (flour),Kg,1731.291687
2011-12,Central,Maize (grains),Kg,1350
2011-12,Central,Mangos,Kg,889.9602602
2011-12,Central,"Margarine, Butter, etc",Kg,1586488.956
2011-12,Central,Matoke,Kg,1499.343374
2011-12,Central,Millet,Kg,17920
2011-12,Central,Onions,Kg,614.1019638
2011-12,Central,Oranges,Kg,983.0278681
2011-12,Central,Other Alcoholic Drinks,Kg,7038.793996
2011-12,Central,Other Drinks,Kg,1633.333333
2011-12,Central,Other Foods,Kg,
2011-12,Central,Other Fruits,Kg,3167.466789
2011-12,Central,Other Juice,Kg,
2011-12,Central,Other Meat,Kg,503700
2011-12,Central,Other Tobacco,Kg,457.1428571
2011-12,Central,Other Vegetables,Kg,643.0529715
2011-12,Central,Passion Fruits,Kg,982.2283497
2011-12,Central,Pawpaw,Kg,1633.821509
2011-12,Central,Peas,Kg,6559.722222
2011-12,Central,Peas (dry),Kg,2452.380952
2011-12,Central,Pineapple,Kg,2920.557776
2011-12,Central,Pork,Kg,6104.166667
2011-12,Central,Pumpkins,Kg,2757.240267
2011-12,Central,Restaurant (food),Kg,
2011-12,Central,Restaurant (soda),Kg,3183.719712
2011-12,Central,Rice,Kg,3122.739837
2011-12,Central,Salt,Kg,1098.446988
2011-12,Central,Sim Sim,Kg,4500
2011-12,Central,Sorghum,Kg,770
2011-12,Central,Sugar,Kg,3460.451077
2011-12,Central,Sweet Bananas,Kg,1786.253065
2011-12,Central,Sweet Potatoes (dry),Kg,907.5
2011-12,Central,Sweet Potatoes (fresh),Kg,1623.240185
2011-12,Central,Tea,Kg,2181.125667
2011-12,Central,Tomatoes,Kg,652.7213489
2011-12,Central,Watermelon,Kg,3635.227166
2011-12,Eastern,Avocado,Kg,660.6841585
2011-12,Eastern,Beans (dry),Kg,1982.395543
2011-12,Eastern,Beans (fresh),Kg,2022.615842
2011-12,Eastern,Beef,Kg,13190.78341
2011-12,Eastern,Beer,Kg,4772.161172
2011-12,Eastern,Bread,Kg,4517.487383
2011-12,Eastern,Cabbage (green),Kg,1846.563722
2011-12,Eastern,Carrots,Kg,797.1755725
2011-12,Eastern,Cassava (dry),Kg,2551.260504
2011-12,Eastern,Cassava (fresh),Kg,1574.30621
2011-12,Eastern,Chicken,Kg,20480.93451
2011-12,Eastern,Cigarettes,Kg,765
2011-12,Eastern,Coffee,Kg,10355.55556
2011-12,Eastern,Cooking Oil,Kg,1268.076794
2011-12,Eastern,Dodo,Kg,635.6912417
2011-12,Eastern,Dry/Smoked Fish,Kg,1747.347429
2011-12,Eastern,Eggplant,Kg,429.0484285
2011-12,Eastern,Eggs,Kg,854.3366746
2011-12,Eastern,Eggs,Tray of 30 eggs,
2011-12,Eastern,Fresh Fish,Kg,1850.912903
2011-12,Eastern,Ghee,Kg,10339.39394
2011-12,Eastern,Goat Meat,Kg,9966.816667
2011-12,Eastern,Green Pepper,Kg,1152.187954
2011-12,Eastern,Ground Nuts (in shell),Kg,1671.317829
2011-12,Eastern,Ground Nuts (paste),Kg,2019.923619
2011-12,Eastern,Ground Nuts (pounded),Kg,7517.064394
2011-12,Eastern,Ground Nuts (shelled),Kg,3525.392156
2011-12,Eastern,Infant Formula,Kg,25000
2011-12,Eastern,Irish Potatoes,Kg,1084.313725
2011-12,Eastern,Maize (cobs),Kg,632.0224293
2011-12,Eastern,Maize (flour),Kg,1471.113428
2011-12,Eastern,Maize (grains),Kg,853.8461538
2011-12,Eastern,Mangos,Kg,786.0016762
2011-12,Eastern,"Margarine, Butter, etc",Kg,226519.8864
2011-12,Eastern,Matoke,Kg,1408.566253
2011-12,Eastern,Millet,Kg,1362.042298
2011-12,Eastern,Onions,Kg,543.9612543
2011-12,Eastern,Oranges,Kg,724.0400694
2011-12,Eastern,Other Alcoholic Drinks,Kg,3065.927318
2011-12,Eastern,Other Drinks,Kg,1430.555556
2011-12,Eastern,Other Foods,Kg,
2011-12,Eastern,Other Fruits,Kg,2933.479914
2011-12,Eastern,Other Juice,Kg,
2011-12,Eastern,Other Meat,Kg,4925
2011-12,Eastern,Other Tobacco,Kg,216.6666667
2011-12,Eastern,Other Vegetables,Kg,496.7838048
2011-12,Eastern,Passion Fruits,Kg,1291.421569
2011-12,Eastern,Pawpaw,Kg,1602.106401
2011-12,Eastern,Peas,Kg,2625
2011-12,Eastern,Peas (dry),Kg,1538.095238
2011-12,Eastern,Pineapple,Kg,3223.044441
2011-12,Eastern,Pork,Kg,5134.210526
2011-12,Eastern,Pumpkins,Kg,2662.46479
2011-12,Eastern,Restaurant (food),Kg,
2011-12,Eastern,Restaurant (soda),Kg,3178.941671
2011-12,Eastern,Rice,Kg,2459.632035
2011-12,Eastern,Salt,Kg,1186.130389
2011-12,Eastern,Sim Sim,Kg,2593.75
2011-12,Eastern,Sorghum,Kg,1065.249383
2011-12,Eastern,Sugar,Kg,3423.804268
2011-12,Eastern,Sweet Bananas,Kg,1618.280714
2011-12,Eastern,Sweet Potatoes (dry),Kg,692.7407407
2011-12,Eastern,Sweet Potatoes (fresh),Kg,1358.907205
2011-12,Eastern,Tea,Kg,2474.795887
2011-12,Eastern,Tomatoes,Kg,534.3218928
2011-12,Eastern,Watermelon,Kg,3315.341842
2011-12,Northern,Avocado,Kg,713.1950688
2011-12,Northern,Beans (dry),Kg,3636.228376
2011-12,Northern,Beans (fresh),Kg,4292.391304
2011-12,Northern,Beef,Kg,6764.634146
2011-12,Northern,Beer,Kg,3979.133117
2011-12,Northern,Bread,Kg,2996.646549
2011-12,Northern,Cabbage (green),Kg,2338.050528
2011-12,Northern,Carrots,Kg,458.3333333
2011-12,Northern,Cassava (dry),Kg,1583.540802
2011-12,Northern,Cassava (fresh),Kg,1129.711458
2011-12,Northern,Chicken,Kg,21314.96134
2011-12,Northern,Cigarettes,Kg,495.7837838
2011-12,Northern,Coffee,Kg,1385.763889
2011-12,Northern,Cooking Oil,Kg,2470.253629
